"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","cd HW_10","Completed","5. 2. 2026 15:54:16","5. 2. 2026 15:54:17"
"2","git push","Completed","5. 2. 2026 15:54:31","5. 2. 2026 15:55:04"
"3","git branch","Completed","5. 2. 2026 16:00:21","5. 2. 2026 16:00:23"
"4","git checkout -b develop","Completed","5. 2. 2026 16:52:22","5. 2. 2026 16:52:23"
"5","git branch","Completed","5. 2. 2026 16:53:40","5. 2. 2026 16:53:40"
"6","touch develop_test.txt","Completed","5. 2. 2026 16:55:30","5. 2. 2026 16:55:31"
"7","New-Item develop_test.txt -ItemType File","Completed","5. 2. 2026 16:57:25","5. 2. 2026 16:57:25"
"8","git  add develop_test.txt","Completed","5. 2. 2026 16:59:15","5. 2. 2026 16:59:15"
"9","git commit -m ""new file develop_test.txt""","Completed","5. 2. 2026 17:00:26","5. 2. 2026 17:00:27"
"10","Add-Content develop_test.txt ""just a small change""","Completed","5. 2. 2026 17:05:14","5. 2. 2026 17:05:14"
"11","git status","Completed","5. 2. 2026 17:05:29","5. 2. 2026 17:05:29"
"12","git add develop_test.txt","Completed","5. 2. 2026 17:06:01","5. 2. 2026 17:06:02"
"13","git commit -m 'Added just a small change to develop_test.txt'","Completed","5. 2. 2026 17:09:26","5. 2. 2026 17:09:26"
"14","git push origin develop","Completed","5. 2. 2026 17:12:25","5. 2. 2026 17:12:29"
"15","git checkout main","Completed","5. 2. 2026 17:17:59","5. 2. 2026 17:18:00"
"16","git branch","Completed","5. 2. 2026 17:18:44","5. 2. 2026 17:18:45"
"17","git merge develop","Completed","5. 2. 2026 17:20:34","5. 2. 2026 17:20:34"
"18","git log","Completed","5. 2. 2026 17:20:55","5. 2. 2026 17:28:44"
"19","history>command_list.csv","Completed","5. 2. 2026 17:29:42","5. 2. 2026 17:29:43"
